task,total_rounds,Claude-Opus-4.8,GPT-5.5,Kimi-K2.6,Kimi-K2.7-Code,MiniMax-M3,DeepSeek-V4-Pro,Doubao-Seed-2.1-Pro,Qwen3.6-Plus,Qwen3.7-Max,GLM-5.1,GLM-5.2,DeepSeek-V4-Flash,MiniMax-M2.7,__note
theme_d11_w9_scientific_numerical_reproducibility_verification,8,2/8 c91% r56.8,6/8 c98% r65.1,4/8 c96% r130.2,0/8 c76% r93.9,7/8 c97% r115.9,0/8 c70% r174.1,0/8 c89% r94.9,0/8 c82% r123.5,0/8 c80% r98.5,0/8 c95% r140.5,2/8 c94% r104.5,0/8 c33% r167.8,0/8 c98% r85.5,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d12_w1_automation_productivity_greenfield_implementation,7,2/7 c84% r143.6,1/7 c60% r98,0/7 c24% r159.4,0/7 c3% r50.3,0/7 c35% r112.1,0/7 c21% r169.3,0/7 c23% r57.6,0/7 c0% r130,0/7 c49% r186.1,0/7 c12% r58.7,0/7 c0% r80.9,0/7 c30% r204.9,0/7 c29% r228.7,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d1_w11_code_build_automation_scripting,8,1/8 c98% r70.8,2/8 c91% r75,1/8 c96% r155.1,1/8 c33% r25.2,1/8 c70% r99.5,2/8 c95% r118.5,0/8 c36% r2.9,1/8 c96% r109.8,1/8 c80% r103.8,0/8 c40% r5.4,0/8 c65% r92,3/8 c98% r146.5,0/8 c0% r99,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d1_w1_code_build_greenfield_implementation,9,9/9 c100% r44,5/9 c69% r22.2,6/9 c96% r141.4,0/9 c16% r34,8/9 c99% r168.4,9/9 c100% r120.8,1/9 c31% r65,7/9 c96% r101.3,8/9 c100% r80,0/9 c64% r76.3,7/9 c93% r56.7,5/9 c98% r143.8,4/9 c91% r103.9,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d1_w2_code_build_brownfield_modification,8,6/8 c99% r77.9,1/8 c57% r88.9,0/8 c27% r110.8,0/8 c28% r68.5,0/8 c47% r132.5,1/8 c49% r164.9,0/8 c6% r55.9,0/8 c9% r139.9,0/8 c32% r145.1,0/8 c28% r74.9,0/8 c28% r87.4,0/8 c33% r137.5,0/8 c29% r178,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d1_w5_code_build_integration_e2e_wiring,8,2/8 c96% r49.5,6/8 c96% r40.5,1/8 c99% r115.2,1/8 c58% r60.5,0/8 c76% r152.6,1/8 c79% r145.5,1/8 c12% r59,1/8 c97% r85.9,1/8 c63% r132.9,1/8 c83% r72.6,2/8 c82% r39.2,0/8 c61% r125.6,0/8 c10% r91.4,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d1_w9_code_build_reproducibility_verification,7,7/7 c100% r56.6,3/7 c76% r22.1,1/7 c55% r122.7,0/7 c43% r53.9,1/7 c93% r126.3,1/7 c53% r160.7,1/7 c49% r60,2/7 c91% r142.4,1/7 c61% r141.4,0/7 c49% r92.6,0/7 c14% r19.9,2/7 c71% r175.4,0/7 c36% r141.6,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d3_w9_testing_quality_reproducibility_verification,7,7/7 c100% r51.4,0/7 c77% r68.7,0/7 c22% r77.9,0/7 c71% r62.6,7/7 c100% r106.7,0/7 c17% r131.1,0/7 c0% r45.5,0/7 c80% r90.1,0/7 c90% r86.1,0/7 c18% r70.1,0/7 c55% r34.3,0/7 c13% r86.4,0/7 c35% r93.6,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d5_w1_data_engineering_greenfield_implementation,13,10/13 c95% r70.7,3/13 c49% r43.8,0/13 c32% r103.7,1/13 c23% r23.8,0/13 c3% r89.9,1/13 c15% r109.8,0/13 c21% r91.2,0/13 c14% r123.5,2/13 c43% r142.9,1/13 c22% r97.5,0/13 c9% r29.1,0/13 c3% r107.8,0/13 c5% r87.4,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d5_w5_data_engineering_integration_e2e_wiring,9,6/9 c88% r60.3,4/9 c56% r40.1,0/9 c23% r109.9,0/9 c42% r98,0/9 c13% r89.6,0/9 c56% r182.8,1/9 c43% r56,0/9 c43% r113.1,2/9 c58% r148.6,0/9 c28% r91.3,0/9 c39% r52.4,1/9 c42% r109,0/9 c15% r142.4,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d5_w9_data_engineering_reproducibility_verification,15,10/15 c100% r58.4,0/15 c80% r27.9,0/15 c74% r105.6,0/15 c26% r93.1,0/15 c40% r118.8,1/15 c45% r192.2,0/15 c54% r65.7,1/15 c96% r101.7,2/15 c91% r101.9,1/15 c80% r89.1,0/15 c0% r31.2,0/15 c54% r101.3,0/15 c47% r128.1,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d6_w1_database_storage_greenfield_implementation,8,0/8 c92% r65.4,1/8 c82% r68.6,0/8 c62% r74.5,0/8 c39% r91.4,0/8 c0% r69,0/8 c8% r93.1,0/8 c8% r55.2,0/8 c46% r117.8,0/8 c22% r83.9,0/8 c38% r69,0/8 c0% r52.4,0/8 c38% r85.5,0/8 c0% r64.5,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d7_w5_systems_networking_integration_e2e_wiring,8,0/8 c86% r105,1/8 c84% r87.1,0/8 c34% r96,0/8 c0% r85,0/8 c20% r111.7,0/8 c54% r139.9,0/8 c0% r44,0/8 c33% r114.2,0/8 c11% r82,0/8 c39% r113.8,0/8 c6% r62,0/8 c0% r79,0/8 c10% r119.2,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d8_w5_cloud_devops_integration_e2e_wiring,11,5/11 c98% r56.8,1/11 c79% r44,0/11 c56% r110.5,0/11 c71% r62.8,0/11 c21% r123.4,0/11 c21% r86.4,1/11 c94% r94.2,2/11 c82% r118.6,0/11 c52% r123.8,0/11 c21% r89.3,0/11 c38% r42.1,0/11 c70% r116.6,0/11 c9% r98.9,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
theme_d9_w11_security_automation_scripting,15,8/15 c96% r35.4,14/15 c100% r50.9,10/15 c99% r62.1,4/15 c72% r55.4,8/15 c96% r95.9,14/15 c100% r80.9,12/15 c94% r55.7,11/15 c95% r67.5,13/15 c100% r73.6,4/15 c81% r44.5,0/15 c43% r33.7,9/15 c96% r78,0/15 c87% r115,each cell: passed_rounds/total · c=mean case pass % · r=mean agent-tool interactions per reached benchmark round
